cd_adj,caserate,deathrate,pctnohi,pctsvc,pctsevere,pctpoc,pctrentburden,proratedami,evictionrate,litigations,rate,cd,change,newunits,foreclosures,scriedrie,rsunits,outagerate,units,PctNonBank
101,114.55296016742061,3.8218348635560293,0.10066158444436982,0.5135955600253287,0.042179496980353184,0.8213098675965782,0.6423533896689751,0.276465075252219,0.6125144355615673,116,63.35434916029683,201,0.3333333333333333,361,32,270,12421,411.2158430924498,186,0.5405405405405406
102,114.55296016742061,3.8218348635560293,0.10066158444436982,0.5135955600253287,0.042179496980353184,0.8213098675965782,0.6423533896689751,0.276465075252219,0.6125144355615673,86,100.66998797457481,202,0.19788176850471928,268,31,307,8663,7.763975155279503,138,0.5405405405405406
103,112.74892052001258,3.5788689610223345,0.08653677579214343,0.5364876961007553,0.0383934950498418,0.8374197652229226,0.6647054715597611,0.25694278900213025,0.9427264580253955,121,77.71535580524345,203,0.28672732361961295,602,55,350,14110,282.1633433488118,NA,0.68
104,120.78500707213578,4.038189533239038,0.10426806705945976,0.5836377938991347,0.08088619290563612,0.8273600840276496,0.6202125030887077,0.3491364612174256,0.7779349363507779,260,131.12256150129318,204,0.36252019080154724,187,39,1960,33450,344.0180586907449,318,0.23863636363636365
105,112.39760554505357,3.2866471902388725,0.09912139142908373,0.5824495698605755,0.07290544906310575,0.8448870912892793,0.6013608022569403,0.3376159517080046,0.8807355215672796,246,122.73467620559553,205,0.25365044204186693,282,35,1619,29142,1.486988847583643,NA,0.6111111111111112
106,112.74892052001258,3.5788689610223345,0.08653677579214343,0.5364876961007553,0.0383934950498418,0.8374197652229226,0.6647054715597611,0.25694278900213025,0.9427264580253955,133,143.75438479270372,206,0.14781611934868263,417,39,411,14679,313.6094674556213,43,0.68
107,136.4585856139501,3.307398885928796,0.10061893482081455,0.5442922764054212,0.07482633145881575,0.7718084966113763,0.632049410443571,0.43285356007811804,0.7189997578106079,200,116.38473084256216,207,0.10330188607283908,306,26,1720,36130,146.55172413793105,33,0.31868131868131866
108,96.94555112881807,2.210336735250778,0.06021384355655599,0.3538495526344858,0.03728663370954202,0.4986989793468972,0.5327967530010663,0.6915911066948205,0.33655333005876037,36,40.124001310582955,208,0.10671181761188275,135,26,962,16431,138.97131552917904,NA,0.2361111111111111
109,112.8170606925521,3.4627605148365554,0.0818916799610632,0.46284181604082164,0.0455493208229847,0.8230897335972501,0.5773679274773367,0.474812018709591,0.4739081264473046,156,60.039717563989406,209,0.1627740451571904,695,191,859,15899,118.28214971209214,NA,0.5930232558139535
110,125.41267917589536,3.6273977182498225,0.054294982588483705,0.3895626753051792,0.01882687641201573,0.5783663861908498,0.5325481256332321,0.6899494993459899,0.3259643110869656,44,16.825164594001464,210,0.18584606394523742,56,71,484,5639,15.779092702169626,NA,0.5110132158590308
111,111.80197738552705,3.0299921883013896,0.08474329761962476,0.4384161694202049,0.04357941834451901,0.7155607047261396,0.5552021510312489,0.6291718958932601,0.3235147909384296,63,38.99937849596022,211,0.15782589739863398,57,83,753,13320,170.61174300645558,NA,0.64375
112,109.57337827566835,2.8155051055814413,0.0744923393931337,0.4107832059052287,0.04402105096549541,0.8598720562201598,0.6088490012571588,0.6328039303861042,0.6476983576220218,207,117.22230037042247,212,0.22501061682942194,169,218,513,11902,139.78819969742813,NA,0.7098765432098766
201,100.58189906785546,2.2919572577622387,0.058848868622346936,0.1849742585083603,0.03563346709712458,0.3101223993443836,0.36537936415057537,1.1057918950148007,0.1474717806603049,64,33.313674546121106,301,0.018181818181818084,814,134,815,21927,114.33702484286142,118,0.0992063492063492
202,52.22343305093683,1.2936337750905191,0.039580322480092946,0.13442622950819672,0.031727853409897415,0.420170083842035,0.39222182211019085,1.2922336924222924,0.2109185502864977,41,12.64803323998316,302,0.02611879333250308,1286,90,395,16696,127.68427161926871,25,0.09781021897810219
203,83.81721618345355,2.933435132908722,0.07338716714660652,0.31388422178096836,0.031049289830073035,0.6600349257827117,0.4795758051846033,0.6730511151884755,0.40184042916557833,154,96.5277211300541,303,0.12042855449087589,736,295,386,12330,133.41433778857837,NA,0.20489296636085627
204,87.03257916450582,2.608500460551268,0.12426774671601375,0.3586319084658182,0.036442746471399765,0.6507252058016464,0.5514552632224211,0.726472538735154,0.23995108094091785,128,171.8632134774956,304,0.058861525271854856,991,124,592,9956,NA,113,0.1357142857142857
205,128.18636721583897,4.6504994636423955,0.0552894049925554,0.4801549563660774,0.04672782445492975,0.7535216330864826,0.5863823035280941,0.48759154732471893,0.5952639313462266,156,84.78878960194963,305,0.19533015978560112,242,297,189,7254,144.2071197411003,205,0.593939393939394
206,55.48291788358351,1.2735176254839367,0.03238410483031616,0.10141408790594329,0.02033600392413342,0.24926562787720422,0.3301839703365659,1.7300999501864942,0.10188141003871494,46,32.4554012967508,306,-0.023509257970235085,528,66,377,6391,54.23506237688772,76,0.06746626686656672
207,87.44249081636292,2.382395948500303,0.12624163794851004,0.37545356859202966,0.07392058379693237,0.5740195591170106,0.48571028299243485,0.7075548902091566,0.12125967402546453,69,131.6576086956522,307,0.06446176737892018,131,60,611,8027,NA,NA,0.1814814814814815
