cd_adj,caserate,deathrate,pctsvc,pctsevere,pctpoc,pctrentburden,proratedami,evictionrate,litigations,rate,cd,change,newunits,foreclosures,scriedrie,rsunits,outagerate,units,PctNonBank
112,109.57337827566835,2.8155051055814413,31.30515240009979,4.402105096549541,85.98720562201599,60.88490012571588,32.02369494958835,0.6476983576220218,207,117.22230037042247,212,22.501061682942197,169,218,513,11902,22.550750220653132,NA,0.7098765432098766
201,100.58189906785546,2.2919572577622387,13.105175634425258,3.5633467097124583,31.012239934438366,36.53793641505754,59.051924424877726,0.1474717806603049,64,33.313674546121106,301,1.8181818181818084,814,134,815,21927,41.12158430924498,118,0.0992063492063492
202,52.22343305093683,1.2936337750905191,9.939376918555286,3.172785340989741,42.0170083842035,39.22218221101909,75.3449652051719,0.2109185502864977,41,12.64803323998316,302,2.611879333250308,1286,90,395,16696,0.7763975155279503,25,0.09781021897810219
203,83.81721618345355,2.933435132908722,25.607912020772872,3.1049289830073037,66.00349257827118,47.95758051846033,34.95166563265881,0.40184042916557833,154,96.5277211300541,303,12.04285544908759,736,295,386,12330,28.21633433488118,NA,0.20489296636085627
204,87.03257916450582,2.608500460551268,26.438614957691414,3.6442746471399765,65.07252058016464,55.14552632224211,34.09789703875434,0.23995108094091785,128,171.8632134774956,304,5.8861525271854855,991,124,592,9956,34.401805869074494,113,0.1357142857142857
205,128.18636721583897,4.6504994636423955,32.52805437458044,4.672782445492975,75.35216330864826,58.63823035280941,29.977905660137314,0.5952639313462266,156,84.78878960194963,305,19.533015978560112,242,297,189,7254,0.14869888475836432,205,0.593939393939394
206,55.48291788358351,1.2735176254839367,7.388131079032946,2.033600392413342,24.92656278772042,33.01839703365659,89.32887723478208,0.10188141003871494,46,32.4554012967508,306,-2.3509257970235087,528,66,377,6391,31.36094674556213,76,0.06746626686656672
207,87.44249081636292,2.382395948500303,28.637160699546822,7.392058379693236,57.40195591170106,48.57102829924349,29.409955662492845,0.12125967402546453,69,131.6576086956522,307,6.446176737892017,131,60,611,8027,14.655172413793103,NA,0.1814814814814815
208,54.90628938791644,1.8421425534929856,16.2171162076467,2.1504990949982976,64.54214623578827,44.89870281300102,47.60784981965863,0.29832268072760904,125,101.51988097669127,308,16.542417285859486,317,104,852,15213,13.897131552917903,81,0.14327485380116958
209,79.66930774095152,3.4966335602425325,24.308504356850186,3.6278265744720612,71.66613337348717,49.62991928050722,41.29921748851074,0.49287653907673995,109,149.92313348038232,309,3.14760914760915,93,106,1971,20076,11.828214971209214,39,0.24324324324324326
210,105.36649747847127,2.566337795230685,17.94979788983283,3.8622741942244017,37.66085708427312,45.58976132826012,41.81028139450224,0.20367760279608613,35,48.55516637478109,310,1.1178697501047676,24,40,842,11780,1.5779092702169626,NA,0.14622641509433962
211,105.14233727215986,2.845687566778449,25.14108440223783,4.49448789220767,57.156381880519255,56.490462942075844,27.34352196705234,0.1375239344539771,55,100.81979001869696,311,-0.0754752971167669,46,61,1528,14599,17.061174300645558,NA,0.10443864229765012
212,139.10566164500375,3.410940851184785,15.931479961457478,7.780849231884715,23.79162051215221,64.28989751098096,25.734104343712545,0.12274218972066461,53,69.04391528060309,312,1.1073663938372698,290,172,1306,12883,13.978819969742814,NA,0.4
213,124.08353894959464,4.758547761720127,27.593910411091123,4.55593751359819,42.65985409058182,59.39276227471366,24.92144327662802,0.31723651744800846,35,24.53312797381666,313,7.806856929190164,238,44,1187,9535,NA,1050,0.1918238993710692
